"ClienteID";"NomeCliente";"Email";"DataRegistrazione"
1;"Cliente 1";"cliente1@email.com";"2022-01-06 00:00:00"
2;"Cliente 2";"cliente2@email.com";"2022-05-06 00:00:00"
3;"Cliente 3";"cliente3@email.com";"2022-04-03 00:00:00"
4;"Cliente 4";"cliente4@email.com";"2022-06-29 00:00:00"
5;"Cliente 5";"cliente5@email.com";"2022-11-18 00:00:00"
6;"Cliente 6";"cliente6@email.com";"2022-07-12 00:00:00"
7;"Cliente 7";"cliente7@email.com";"2022-02-04 00:00:00"
8;"Cliente 8";"cliente8@email.com";"2022-04-25 00:00:00"
9;"Cliente 9";"cliente9@email.com";"2022-12-01 00:00:00"
10;"Cliente 10";"cliente10@email.com";"2022-04-06 00:00:00"
11;"Cliente 11";"cliente11@email.com";"2022-04-03 00:00:00"
12;"Cliente 12";"cliente12@email.com";"2022-05-07 00:00:00"
13;"Cliente 13";"cliente13@email.com";"2022-08-23 00:00:00"
14;"Cliente 14";"cliente14@email.com";"2022-10-07 00:00:00"
15;"Cliente 15";"cliente15@email.com";"2022-01-14 00:00:00"
16;"Cliente 16";"cliente16@email.com";"2022-06-18 00:00:00"
17;"Cliente 17";"cliente17@email.com";"2022-07-20 00:00:00"
18;"Cliente 18";"cliente18@email.com";"2022-08-11 00:00:00"
19;"Cliente 19";"cliente19@email.com";"2022-07-19 00:00:00"
20;"Cliente 20";"cliente20@email.com";"2022-11-10 00:00:00"
21;"Cliente 21";"cliente21@email.com";"2022-02-09 00:00:00"
22;"Cliente 22";"cliente22@email.com";"2022-05-05 00:00:00"
23;"Cliente 23";"cliente23@email.com";"2022-01-18 00:00:00"
24;"Cliente 24";"cliente24@email.com";"2022-05-03 00:00:00"
25;"Cliente 25";"cliente25@email.com";"2022-06-26 00:00:00"
26;"Cliente 26";"cliente26@email.com";"2022-06-15 00:00:00"
27;"Cliente 27";"cliente27@email.com";"2022-07-06 00:00:00"
28;"Cliente 28";"cliente28@email.com";"2022-03-31 00:00:00"
29;"Cliente 29";"cliente29@email.com";"2022-12-30 00:00:00"
30;"Cliente 30";"cliente30@email.com";"2022-03-19 00:00:00"
31;"Cliente 31";"cliente31@email.com";"2022-05-02 00:00:00"
32;"Cliente 32";"cliente32@email.com";"2022-03-25 00:00:00"
33;"Cliente 33";"cliente33@email.com";"2022-03-29 00:00:00"
34;"Cliente 34";"cliente34@email.com";"2022-07-17 00:00:00"
35;"Cliente 35";"cliente35@email.com";"2022-12-10 00:00:00"
36;"Cliente 36";"cliente36@email.com";"2022-08-31 00:00:00"
37;"Cliente 37";"cliente37@email.com";"2022-03-14 00:00:00"
38;"Cliente 38";"cliente38@email.com";"2022-02-04 00:00:00"
39;"Cliente 39";"cliente39@email.com";"2022-06-15 00:00:00"
40;"Cliente 40";"cliente40@email.com";"2022-09-06 00:00:00"
41;"Cliente 41";"cliente41@email.com";"2022-10-04 00:00:00"
42;"Cliente 42";"cliente42@email.com";"2022-01-08 00:00:00"
43;"Cliente 43";"cliente43@email.com";"2022-04-18 00:00:00"
44;"Cliente 44";"cliente44@email.com";"2022-05-01 00:00:00"
45;"Cliente 45";"cliente45@email.com";"2022-07-14 00:00:00"
46;"Cliente 46";"cliente46@email.com";"2022-11-25 00:00:00"
47;"Cliente 47";"cliente47@email.com";"2022-12-24 00:00:00"
48;"Cliente 48";"cliente48@email.com";"2022-10-05 00:00:00"
49;"Cliente 49";"cliente49@email.com";"2022-09-27 00:00:00"
50;"Cliente 50";"cliente50@email.com";"2022-01-24 00:00:00"
51;"Cliente 51";"cliente51@email.com";"2022-04-30 00:00:00"
52;"Cliente 52";"cliente52@email.com";"2022-07-02 00:00:00"
53;"Cliente 53";"cliente53@email.com";"2022-01-25 00:00:00"
54;"Cliente 54";"cliente54@email.com";"2022-03-12 00:00:00"
55;"Cliente 55";"cliente55@email.com";"2022-09-12 00:00:00"
56;"Cliente 56";"cliente56@email.com";"2022-07-05 00:00:00"
57;"Cliente 57";"cliente57@email.com";"2022-08-21 00:00:00"
58;"Cliente 58";"cliente58@email.com";"2022-04-05 00:00:00"
59;"Cliente 59";"cliente59@email.com";"2022-07-04 00:00:00"
60;"Cliente 60";"cliente60@email.com";"2022-10-21 00:00:00"
61;"Cliente 61";"cliente61@email.com";"2022-10-31 00:00:00"
62;"Cliente 62";"cliente62@email.com";"2022-08-02 00:00:00"
63;"Cliente 63";"cliente63@email.com";"2022-02-09 00:00:00"
64;"Cliente 64";"cliente64@email.com";"2022-06-08 00:00:00"
65;"Cliente 65";"cliente65@email.com";"2022-03-07 00:00:00"
66;"Cliente 66";"cliente66@email.com";"2022-09-06 00:00:00"
67;"Cliente 67";"cliente67@email.com";"2022-08-22 00:00:00"
68;"Cliente 68";"cliente68@email.com";"2022-05-03 00:00:00"
69;"Cliente 69";"cliente69@email.com";"2022-06-22 00:00:00"
